tag,total_questions,avg_score,avg_views,unanswered_count,avg_answers,unanswered_rate,engagement_score
javascript,541108,0.45,435.0,127607,1.15,0.2358,0.58
google-cloud-firestore,24518,0.52,419.0,4796,1.02,0.1956,0.58
algorithm,21287,0.54,262.0,3814,1.32,0.1792,0.58
powershell,32522,0.48,448.0,7473,1.03,0.2298,0.58
ggplot2,18968,0.66,261.0,3375,1.04,0.1779,0.58
dataframe,70499,0.55,240.0,9274,1.33,0.1315,0.58
c++,137190,0.64,265.0,35405,1.05,0.2581,0.57
python-3.x,134004,0.41,449.0,29351,1.13,0.219,0.57
matplotlib,25483,0.54,449.0,7076,0.89,0.2777,0.57
windows,27501,0.49,532.0,9912,0.82,0.3604,0.57
linux,40202,0.46,504.0,12573,0.94,0.3127,0.57
python,750502,0.42,413.0,171574,1.12,0.2286,0.56
ruby-on-rails,24324,0.56,331.0,6553,0.95,0.2694,0.55
.net,36517,0.5,392.0,11420,0.91,0.3127,0.54
express,32424,0.42,457.0,9364,0.93,0.2888,0.54
postgresql,52842,0.46,398.0,13059,1.0,0.2471,0.54
selenium,33275,0.37,448.0,8138,1.08,0.2446,0.54
java,277597,0.41,423.0,75928,1.03,0.2735,0.54
css,140030,0.37,341.0,26822,1.24,0.1915,0.53
rest,17719,0.39,483.0,5143,0.92,0.2903,0.53
regex,36351,0.37,198.0,3222,1.47,0.0886,0.52
string,32606,0.22,256.0,3828,1.58,0.1174,0.51
unity3d,22809,0.3,475.0,5124,1.01,0.2246,0.51
multithreading,18191,0.55,275.0,5517,0.92,0.3033,0.51
bash,30413,0.31,310.0,5299,1.3,0.1742,0.51
c#,211050,0.38,381.0,55178,1.0,0.2614,0.5
mongodb,48722,0.46,349.0,13860,0.9,0.2845,0.5
django,87263,0.42,337.0,23327,0.94,0.2673,0.49
list,40285,0.19,209.0,4089,1.67,0.1015,0.49
flask,21305,0.29,484.0,6250,0.87,0.2934,0.48
dictionary,22682,0.21,215.0,2620,1.53,0.1155,0.48
api,34941,0.31,438.0,10835,0.89,0.3101,0.48
arrays,88040,0.21,228.0,11660,1.48,0.1324,0.47
html,205388,0.28,284.0,42821,1.2,0.2085,0.47
json,72790,0.25,360.0,14326,1.13,0.1968,0.47
google-sheets,23734,0.31,275.0,2987,1.15,0.1259,0.46
oracle,29204,0.19,285.0,4555,1.26,0.156,0.44
asp.net,24293,0.3,359.0,7615,0.88,0.3135,0.44
csv,20766,0.24,301.0,4216,1.12,0.203,0.44
google-apps-script,20180,0.26,279.0,3385,1.05,0.1677,0.43
web-scraping,20292,0.27,265.0,3854,1.09,0.1899,0.43
php,150538,0.22,355.0,43204,0.96,0.287,0.42
for-loop,20728,0.14,188.0,2877,1.43,0.1388,0.42
jquery,68902,0.27,235.0,17056,1.07,0.2475,0.42
function,27592,0.19,203.0,4871,1.28,0.1765,0.41
xml,24322,0.3,223.0,5778,1.0,0.2376,0.41
loops,24987,0.14,188.0,3613,1.41,0.1446,0.41
sql,127410,0.11,213.0,17767,1.3,0.1394,0.39
database,31272,0.19,270.0,8522,0.96,0.2725,0.38
mysql,82194,0.14,278.0,20372,1.04,0.2479,0.38
wordpress,36007,0.24,303.0,12166,0.82,0.3379,0.38
excel,61027,0.2,219.0,16967,0.97,0.278,0.36
ajax,19778,0.21,245.0,6281,0.88,0.3176,0.36
sql-server,50741,0.05,262.0,10483,1.17,0.2066,0.36
vba,42639,0.19,176.0,11445,0.98,0.2684,0.34
tkinter,20211,0.15,239.0,5649,0.9,0.2795,0.34
